"http://planyourhike.com/planning/resup/acton.html"	"Acton PO"	"6 miles"	"444"	"No, it's probably cheaper to mail food here."	"The post office is located at 3632 Smith Avenue, and their phone number is (661) 269-8618."	"Take Soledad Canyon Rd east to Acton.  Southbounders might take Hwy 14 east, then take Crown Valley Rd south to the PO (a total of 8.8 miles)."
"http://planyourhike.com/planning/resup/Julian.html"	"Julian PO"	"4.1 miles"	"77"	"Yes."	"The post office is located at 1785 Highway 78, and their phone number is (760) 765-3648."	"Follow Hwy 78 west for 4.1 miles."
"http://planyourhike.com/planning/resup/anza.html"	"Anza PO"	"7 miles"	"152"	"No, it's probably cheaper to mail food here."	"The post office is located at 38775 Contreras Road and their phone number is (951) 763-2074."	"ERROR"
"http://planyourhike.com/planning/resup/ashlandcity.html"	"Ashland PO"	"13 miles"	"1727"	"Yes, there is a Safeway here."	"ERROR"	"The post office is very far from the trail.  Green Springs Inn is much closer, though it has fewer resources.  You may want to use Green Springs Inn instead, unless you plan on buying a lot of food/supplies here."
"http://planyourhike.com/planning/resup/belden.html"	"Belden PO"	"1 mile"	"1289"	"No, it's probably cheaper to mail food here."	"After you cross the Belden Bridge (northbound) to the highway, you can road walk to the P.O. Then climb up the hill behind the P.O. to the trail.  The phone number to the P.O. is (530) 283-0951.  It is open Mon-Fri 9:00a-1:00p and either Saturday or Sunday for package pickup depending on demand. "	"ERROR"
"http://planyourhike.com/planning/resup/bend.html"	"Bend PO"	"22 miles"	"1990"	"Yes "	"The post office is located at 61 Northwest Oregon Avenue.The phone number is (541) 385-7628.  Call to verify address, location, and operating hours."	"Sisters is closer to the trail but may more more expensive since it's a bit more touristy."
"http://planyourhike.com/planning/resup/bigbearcity.html"	"Big Bear City PO"	"5 miles"	"265"	"No, it's probably cheaper to mail food here.  See Big Bear Lake nearby for inexepensive grocery stores."	"The post office is located at 120 West Country Club Boulevard and the phone number is (909) 585-7132."	"Take HWY 18 to and from the trail."
"http://planyourhike.com/planning/resup/bigbearlake.html"	"Big Bear Lake PO"	"6 miles"	"265"	"Yes "	"The post office is located at 472 Pine Knot Blvd and the phone number is (909) 866-1035."	""
"http://planyourhike.com/planning/resup/bishop.html"	"Bishop PO"	"37 miles"	"831"	"Yes, but the prices will still be higher than in less isolated towns."	"The post office is located at 595 West Line Street, and the phone number is (760) 873-3526."	"Take the Bishop Pass Trail to South Lake.  Take South Lake Rd to Hwy 168.  Take 168 east into Bishop.  For southbounders it might be easier to go to Mammoth lakes and hitch to Bishop."
"http://planyourhike.com/planning/resup/bridgeport.html"	"Bridgeport PO"	"32 miles"	"1018"	"Yes"	"The post office is located at 29 Kingsley Street.  The phone number is (760) 932-7991.  Take Hwy 108 east to Hwy 395 to Bridgeport."	"ERROR"
"http://planyourhike.com/planning/resup/burneyca.html"	"Burney PO"	"7 miles"	"1416"	"Yes, there is a Safeway here."	"The post office is located at 37095 Main Street, and the phone number is (530) 335-2016."	"A more convienient resupply point would be Burney Falls Camp Store about 8 trail miles north of here."
"http://planyourhike.com/planning/resup/cabazon.html"	"Cabazon PO"	"5 miles"	"210"	"Yes, but you might have to go a short distance to Banning."	"The post office is located at 50360 Ramona Street.  Their hours are Mon-Fri8:30am-4:00pm.  No phone number is listed, you have to call 1-800-ASK-USPS for more info on this post office."	"ERROR"
"http://planyourhike.com/planning/resup/campo.html"	"Campo PO"	"0.0 miles"	"Approximately 0.0"	"No, it's probably cheaper to mail food here, or bring it with you when youcome to the trailhead."	"The post office is located at 951 Jeb Stuart Road.  Their phone number is (619) 478-5466."	"ERROR"
"http://planyourhike.com/planning/resup/cascadelocks.html"	"Cascade Locks PO"	"0 miles"	"2155"	"Yes"	"The post office is located at 461 NW Wanapa St.  The phone number is (541) 374-5026."	"If you want better hours than the post office offers, you may consider using Pacific Crest Pub and Hostel or Port Marine RV Park as a resupply point instead.  They are both very close by."
"http://planyourhike.com/planning/resup/castella.html"	"Castella PO"	"2 miles"	"1506"	"No, it's probably cheaper to mail food here."	"The post office is located at 20115 Castle Creek Road. The phone number for the post office is (530) 235-4413.  It is open Mon-Fri 8:30a-5:00p, and Sat 8:30a-10:00a."	""
"http://planyourhike.com/planning/resup/chester.html"	"Chester PO"	"7.5 miles"	"1334"	"No, it's probably cheaper to mail food here."	"The post office is located at 218 Laurel Lane, and the phone number is (530) 258-4184."	"Take Hwy 36 east to Chester."
"http://planyourhike.com/planning/resup/craterlakenp.html"	"Crater Lake National Park PO"	"5 miles"	"1830"	"No, it's probably cheaper to mail food here."	"The post office is located on Rim Dr. and Crater Lake Hwy."	"Mazama Village Store is closer to the trail and offers more services."
"http://planyourhike.com/planning/resup/diamondlake.html"	"Diamond Lake PO "	"10 miles"	"1852.5"	"No, it's probably cheaper to mail food here."	"The post office is located at such and such street."	"Head West on Hwy 138 (E Diamond Lake Hwy).  The road bends north after 1.25 miles.  Keep following the road for another 8 miles.  You'll see the lake on the left hand side of the road.  The post office is at the north end of the lake."
"http://planyourhike.com/planning/resup/dunsmuir.html"	"Dunsmuir PO"	"5 miles"	"1507"	"No, it's probably cheaper to mail food here."	"The post office is located at 5530 Dunsmuir Avenue, and the phone number is (530) 235-0338."	"ERROR"
"http://planyourhike.com/planning/resup/echolake.html"	"Echo Lake PO"	"0 miles"	"1095"	"No, it's probably cheaper to mail food here."	"The post office is located in the store.  The phone number is 530-659-7207.  It is open Mon-Sat 11:00a-2:00p."	"ERROR"
"http://planyourhike.com/planning/resup/etna.html"	"Etna PO"	"10 miles"	"1606"	"No, it's probably cheaper to mail food here."	"The post office is located at Main St &amp; Diggles St."	"ERROR"
"http://planyourhike.com/planning/resup/governmentcamp.html"	"Government Camp PO"	"5.5 miles"	"2102"	"No, it's probably cheaper to mail food here."	"The post office is located at 88331 E Government Camp Loop.  The phone number is (503) 272-3238."	"Take Hwy 35 West.  It will turn into Mt Hood Hwy and lead to Government Camp.  Though further from the trail than Timberline Lodge, everything here is cheaper (though still not as cheap as a larger city would be).   "
"http://planyourhike.com/planning/resup/graeagle.html"	"Graeagle PO"	"12 miles"	"1220"	"No, it's probably cheaper to mail food here."	"The post office is located at 1228 Wasco Trail (530) 836-2352."	"on Johnsonsville Mc Crea Rd for another 4.6 miles.  Then turn right at Graeagle Johnsville Rd and follow it for 5.1 miles to Graeagle."
"http://planyourhike.com/planning/resup/idyllwild.html"	"Idyllwild PO"	"4.5 miles"	"179"	"Yes"	"The post office is located at 54391 Village Center Drive and their phone number is (951) 659-9719."	"Nomad Ventures carries butane canisters."
"http://planyourhike.com/planning/resup/independence.html"	"Independence PO"	"24 miles"	"790"	"No, it's probably cheaper to mail food here."	"The post office is located at 101 South Edwards Street, and their phone number is (760) 878-2210."	"ERROR"
"http://planyourhike.com/planning/resup/julian.html"	"Julian PO"	"4.1 miles"	"77"	"Yes."	"The post office is located at 1785 Highway 78, and their phone number is (760) 765-3648."	"Follow Hwy 78 west for 4.1 miles."
"http://planyourhike.com/planning/resup/lakeisabella.html"	"Lake Isabella PO"	"36 miles"	"652"	"No, it's probably cheaper to mail food here."	"The post office is located at 6441 Lake Isabella Boulevard, and their phone number is (760) 379-8755."	"ERROR"
"http://planyourhike.com/planning/resup/leevining.html"	"Lee Vining PO"	"57 miles"	"942"	"No, it's probably cheaper to mail food here.  But the services here are cheaper than in Tuolumne Meadows."	"The post office is located at 121 Lee Vining Avenue.  The phone number is (760) 647-6371."	"ERROR"
"http://planyourhike.com/planning/resup/lonepine.html"	"Lone Pine PO"	"24 miles"	"745"	"No, it's probably cheaper to mail food here, though is a market if you really need it."	"The post office is located at 121 East Bush Street, and their phone number is (760) 876-5681."	"From the PCT at Crabtree to Mt Whitney Trail Head (via JMT) is about 12 miles. then Mt Whitney Trail Head to Lone Pine is about another 12 miles."
"http://planyourhike.com/planning/resup/mammothlakes.html"	"Mammoth Lakes PO"	"8 miles"	"903"	"No, it's probably cheaper to mail food here, though there are grocery stores here."	"The post office is located at 3330 Main Street and the phone number is (760) 934-2205.  You can get there from the trail by heading to Red's Meadow Resort (see thier resupply point listing), which less than 1 mile from the trail, and then taking the bus ($7) to Mammoth Lakes."	"ERROR"
"http://planyourhike.com/planning/resup/markleeville.html"	"Markleeville PO"	"15.4 miles"	"1079"	"No, it's probably cheaper to mail food here."	"The post office is located at 14845 State Route 89, and the phone number is (530) 694-2125."	"To get there with the least amount of road-distance, take Hwy 88 east for 14.6 miles.  Then turn south on Hwy 89 to reach Markleeville in a total of 15.4 miles."
"http://planyourhike.com/planning/resup/mojave.html"	"Mojave PO"	"11 miles"	"558"	"Yes"	"The post office is located at 2053 Belshaw Street, and their phone number is (661) 824-3502."	"www.rosamondtaxi.com will take you to/from the trail for one way. 3 hikers max."
"http://planyourhike.com/planning/resup/mountshasta.html"	"Mount Shasta PO"	"12 miles"	"1507"	"Yes, there is a Ray's Food Place."	"The post office is located at 301 South Mount Shasta Boulevard, and the phone number is (530) 926-1343."	"Head north along I-5, past Dunsmuir to Mount Shasta.  It's a longer distance, but if you need to buy food you may want to go for it since it's less expensive than Dunsmuir."
"http://planyourhike.com/planning/resup/mtlaguna.html"	"Mount Laguna PO"	"0.00 miles"	"Approximately 43"	"No, it's probably cheaper to mail food here."	"The post office is located at 810 Sunrise Highway.  Their phone number is:(619)473-8341."	""
"http://planyourhike.com/planning/resup/oldstation.html"	"Old Station PO"	"0 miles"	"1378"	"No, it's probably cheaper to mail food here."	"The post office is located at 12529 State Highway 44/89.  It is open Mon-Fri 8:30a-4:30p, Sat 1:00p-3:00p.  Their phone number is (530) 335-7191."	"<i>We, FireFly and FireWalker, are happy to welcome PCT hikers to The Hideaway At Old Station, for a refreshing zero or two. Here we share our: laundry facilities; showers; computer with DSL Internet connection; hearty breakfasts and dinners; hot tub; hammocks, tents (or plenty of space for your own); and one-of-a-kind tree house. Our outside deck provides a vibrant meeting and eating space, along with plenty of wonderful bird watching. We will gladly pick up your general delivery packages and supply transportation to and from the Post Office. </i>"
"http://planyourhike.com/planning/resup/packwood.html"	"Packwood PO"	"20.5 miles"	"2303"	"No, it's probably cheaper to mail food here."	"The post office is located at 111 Smith Road.  Their phone number is (360) 494-6311."	"Packwood has more services than the White Pass resupply, but it is much further away from the trail.  Take Hwy 12, 25.5 miles to Packwood.  It was also written up well in Best of the Crest (see below)."
"http://planyourhike.com/planning/resup/quincy.html"	"Quincy PO"	"28.5 miles"	"1289"	"Yes, there is a Safeway."	"The post office is located at 222 Lawrence Street, and the phone number is (530) 283-3912."	"The easiest way to get here is to hitch east on I-70 from Beldon to W Main St.  Then take W Main St south to Quincy."
"http://planyourhike.com/planning/resup/seiadvalley.html"	"Seiad Valley PO"	"0 miles"	"1662"	"No, it's probably cheaper to mail food here."	"The post office is located at 44717 State Highway 96, and their phone number is (530) 352-4555.  They are open Mon-Fri 8:00a-11:00a, 11:30a-4:30p, and Sat 12:00p-1:30p."	"ERROR"
"http://planyourhike.com/planning/resup/sierracity.html"	"Sierra City PO"	"2 miles"	"1198"	"No, it's probably cheaper to mail food here."	"The post office is located at 215 Main Street, and the phone number is (530) 862-1152."	"Sierra City Sierra Country Store is just a few yards away.  They have better hours and will accept packages.  Select 'Sierra City Country Store' form the dropdown list to view their info.  The laundry mat, bar, store, post office, and hotel are all very close to each other.  The resort is a quarter mile west down the highway."
"http://planyourhike.com/planning/resup/sisters.html"	"Sisters PO"	"18 miles"	"1990"	"Yes, but you have to go to Ray's Food Place. They are located on 635 N Arrowleaf Trail and thier phone number is (541) 549-8118.  Ask a local for directions."	"The post office is located at 160 S Fir St."	"Sisters is very touristy and so it can be more expensive than Bend (the next city east along Hwy 20).  But you can still find cheap food at Ray's."
"http://planyourhike.com/planning/resup/skykomish.html"	"Skykomish PO"	"15 miles"	"2476"	"No, it's probably cheaper to mail food here."	"ERROR"	"ERROR"
"http://planyourhike.com/planning/resup/snoqualmiepass.html"	"Snoqualmie Pass PO"	"0.25 miles"	"2402"	"No, it's probably cheaper to mail food here.  But there is inexpensive trail food down the hill from here in North Bend if you're up for hitchiking."	"The post office is located at the Chevron station."	"The postmaster does not have room to store packages in the small office at the Chevron station. Packages are normally held at the Real Post Office way down the hill in North Bend. He will help you out if you address the package to exactly as shown above.  The post office has very limited hours.  It is open MON-SAT from 10:00am to noon."
"http://planyourhike.com/planning/resup/sodasprings.html"	"Soda Springs PO"	"3 miles"	"1156"	"No, it's probably cheaper to mail food here."	"The post office is located at 21719 Donner Pass Road.  The phone number is (530) 426-3082."	"ERROR"
"http://planyourhike.com/planning/resup/southlaketahoe.html"	"South Lake Tahoe PO"	"9.5 miles"	"1093"	"Yes, there is a Safeway near the lake."	"The post office is located at 950 Emerald Bay Road, and the phone number is (530) 541-4365."	"ERROR"
